Word;ExampleSentence;WordPOS;TranslationWord;TranslationSentence;TTSSentence;Audio
manico;Il {{c1::manico}} della pentola.;noun, masculine, singular;handle;The pot handle.;Il manico della pentola.;
mattino;Buon {{c1::mattino}}!;noun, masculine, singular;morning;Good morning!;Buon mattino!;
mentre;{{c1::Mentre}} mangio, leggo.;conj;while;While I eat, I read.;Mentre mangio, leggo.;
meraviglioso;Il panorama è {{c1::meraviglioso}}.;adj, masculine, singular;wonderful;The view is wonderful.;Il panorama è meraviglioso.;
mescolare;Devo {{c1::mescolare}} gli ingredienti.;verb, infinitive;mix;I need to mix the ingredients.;Devo mescolare gli ingredienti.;
meta;La {{c1::meta}} è lontana.;noun, feminine, singular;destination;The destination is far.;La meta è lontana.;
metà;{{c1::Metà}} del lavoro è fatto.;noun, feminine, singular;half;Half the work is done.;Metà del lavoro è fatto.;
mettere;Devo {{c1::mettere}} i libri.;verb, infinitive;put;I need to put the books.;Devo mettere i libri.;
mezzo;Il {{c1::mezzo}} di trasporto.;noun, masculine, singular;means;The means of transport.;Il mezzo di trasporto.;
minoranza;La {{c1::minoranza}} ha diritti.;noun, feminine, singular;minority;The minority has rights.;La minoranza ha diritti.;
mite;Il clima è {{c1::mite}}.;adj, masculine, singular;mild;The climate is mild.;Il clima è mite.;
moderno;L'edificio è {{c1::moderno}}.;adj, masculine, singular;modern;The building is modern.;L'edificio è moderno.;
montagne;Le {{c1::montagne}} sono alte.;noun, feminine, plural;mountains;The mountains are tall.;Le montagne sono alte.;
montuoso;Il territorio è {{c1::montuoso}}.;adj, masculine, singular;mountainous;The territory is mountainous.;Il territorio è montuoso.;
naturale;È {{c1::naturale}}.;adj, masculine, singular;natural;It's natural.;È naturale.;
negli;{{c1::Negli}} ultimi anni.;prep, masculine, plural;in the;In the last years.;Negli ultimi anni.;
nei;{{c1::Nei}} giorni feriali.;prep, masculine, plural;in the;On weekdays.;Nei giorni feriali.;
nel;{{c1::Nel}} parco.;prep, masculine, singular;in the;In the park.;Nel parco.;
nell';{{c1::Nell'}} ospedale.;prep, masculine, singular;in the;In the hospital.;Nell' ospedale.;
nella;{{c1::Nella}} casa.;prep, feminine, singular;in the;In the house.;Nella casa.;
nelle;{{c1::Nelle}} scuole.;prep, feminine, plural;in the;In the schools.;Nelle scuole.;
nello;{{c1::Nello}} studio.;prep, masculine, singular;in the;In the study.;Nello studio.;
neve;La {{c1::neve}} è bianca.;noun, feminine, singular;snow;The snow is white.;La neve è bianca.;
niente;Non ho {{c1::niente}}.;pronoun, masculine, singular;nothing;I have nothing.;Non ho niente.;
noi scaricheremo;{{c1::Noi scaricheremo}} i file.;phrase;we will download;We will download the files.;Noi scaricheremo i file.;
nostro;È il {{c1::nostro}} libro.;adj, masculine, singular;our;It's our book.;È il nostro libro.;
nuoto;Il {{c1::nuoto}} è uno sport.;noun, masculine, singular;swimming;Swimming is a sport.;Il nuoto è uno sport.;
nuvola;La {{c1::nuvola}} è grigia.;noun, feminine, singular;cloud;The cloud is gray.;La nuvola è grigia.;
obbligare;Devo {{c1::obbligare}} gli studenti.;verb, infinitive;oblige;I need to oblige the students.;Devo obbligare gli studenti.;
obbligato;Sono {{c1::obbligato}} a venire.;adj, masculine, singular;obliged;I'm obliged to come.;Sono obbligato a venire.;
occidentale;La cultura {{c1::occidentale}}.;adj, feminine, singular;western;Western culture.;La cultura occidentale.;
occidente;L'{{c1::occidente}} è ricco.;noun, masculine, singular;west;The west is rich.;L'occidente è ricco.;
ospedale;L'{{c1::ospedale}} è grande.;noun, masculine, singular;hospital;The hospital is big.;L'ospedale è grande.;
ossia;{{c1::Ossia}}, in altre parole.;conj;that is;That is, in other words.;Ossia, in altre parole.;
ottenere;Vuole {{c1::ottenere}} il permesso.;verb, infinitive;obtain;He wants to obtain permission.;Vuole ottenere il permesso.;
paesaggio;Il {{c1::paesaggio}} è bello.;noun, masculine, singular;landscape;The landscape is beautiful.;Il paesaggio è bello.;
palazzo;Il {{c1::palazzo}} è antico.;noun, masculine, singular;palace;The palace is old.;Il palazzo è antico.;
palestra;La {{c1::palestra}} è aperta.;noun, feminine, singular;gym;The gym is open.;La palestra è aperta.;
pallacanestro;Il {{c1::pallacanestro}} è divertente.;noun, masculine, singular;basketball;Basketball is fun.;Il pallacanestro è divertente.;
panna;La {{c1::panna}} è fresca.;noun, feminine, singular;cream;The cream is fresh.;La panna è fresca.;
parare;Devo {{c1::parare}} il colpo.;verb, infinitive;parry;I need to parry the blow.;Devo parare il colpo.;
passare il tempo;Mi piace {{c1::passare il tempo}} con gli amici.;phrase;spend time;I like to spend time with friends.;Mi piace passare il tempo con gli amici.;
passo;Faccio un {{c1::passo}} alla volta.;noun, masculine, singular;step;I take one step at a time.;Faccio un passo alla volta.;
pasto;Il {{c1::pasto}} è pronto.;noun, masculine, singular;meal;The meal is ready.;Il pasto è pronto.;
pattinaggio;Il {{c1::pattinaggio}} è difficile.;noun, masculine, singular;skating;Skating is difficult.;Il pattinaggio è difficile.;
pavimento;Il {{c1::pavimento}} è pulito.;noun, masculine, singular;floor;The floor is clean.;Il pavimento è pulito.;
pazzo;Sei {{c1::pazzo}}!;adj, masculine, singular;crazy;You're crazy!;Sei pazzo!;
peggiore;È il {{c1::peggiore}}.;adj, masculine, singular;worst;It's the worst.;È il peggiore.;
pelle;La {{c1::pelle}} è sensibile.;noun, feminine, singular;skin;The skin is sensitive.;La pelle è sensibile.;
pendenza;La {{c1::pendenza}} è ripida.;noun, feminine, singular;slope;The slope is steep.;La pendenza è ripida.;
per lo più;{{c1::Per lo più}} vado in bici.;phrase;mostly;I mostly go by bike.;Per lo più vado in bici.;
perché;{{c1::Perché}} non vieni?;conj;because;Why don't you come?;Perché non vieni?;
percorso;Il {{c1::percorso}} è lungo.;noun, masculine, singular;path;The path is long.;Il percorso è lungo.;
pericolo;C'è {{c1::pericolo}}.;noun, masculine, singular;danger;There is danger.;C'è pericolo.;
però;{{c1::Però}} è difficile.;conj;however;However, it's difficult.;Però è difficile.;
pianeggiante;Il terreno è {{c1::pianeggiante}}.;adj, masculine, singular;flat;The terrain is flat.;Il terreno è pianeggiante.;
piantina;La {{c1::piantina}} è piccola.;noun, feminine, singular;small plant;The small plant is little.;La piantina è piccola.;
pianura;La {{c1::pianura}} è vasta.;noun, feminine, singular;plain;The plain is vast.;La pianura è vasta.;
piazza;La {{c1::piazza}} è grande.;noun, feminine, singular;square;The square is big.;La piazza è grande.;
piccolo;Il bambino è {{c1::piccolo}}.;adj, masculine, singular;small;The child is small.;Il bambino è piccolo.;
piena;La bottiglia è {{c1::piena}}.;adj, feminine, singular;full;The bottle is full.;La bottiglia è piena.;
pigro;Sei {{c1::pigro}}.;adj, masculine, singular;lazy;You're lazy.;Sei pigro.;
pioggia;La {{c1::pioggia}} è forte.;noun, feminine, singular;rain;The rain is heavy.;La pioggia è forte.;
piovere;{{c1::Piove}} molto.;verb, 3rd person singular, presente;rain;It rains a lot.;Piove molto.;
piramide alimentare;La {{c1::piramide alimentare}} mostra i cibi.;noun, feminine, singular;food pyramid;The food pyramid shows foods.;La piramide alimentare mostra i cibi.;
pista;La {{c1::pista}} di atletica.;noun, feminine, singular;track;The athletics track.;La pista di atletica.;
pittoresco;Il villaggio è {{c1::pittoresco}}.;adj, masculine, singular;picturesque;The village is picturesque.;Il villaggio è pittoresco.;
piuttosto;È {{c1::piuttosto}} difficile.;adv;rather;It's rather difficult.;È piuttosto difficile.;
poi;{{c1::Poi}} andiamo a casa.;adv;then;Then we go home.;Poi andiamo a casa.;
pomata;Metti la {{c1::pomata}} sulla ferita.;noun, feminine, singular;ointment;Put the ointment on the wound.;Metti la pomata sulla ferita.;
portare;Devo {{c1::portare}} la borsa.;verb, infinitive;carry;I need to carry the bag.;Devo portare la borsa.;
potere;Non {{c1::posso}} venire.;verb, 1st person singular, presente;can;I can't come.;Non posso venire.;
prendere;Devo {{c1::prendere}} il treno.;verb, infinitive;take;I need to take the train.;Devo prendere il treno.;
preoccupare;Non {{c1::preoccupare}}.;verb, infinitive;worry;Don't worry.;Non preoccupare.;
preoccuparti;Non {{c1::preoccuparti}}.;verb, infinitive;worry;Don't worry.;Non preoccuparti.;
prescrizione;La {{c1::prescrizione}} è scaduta.;noun, feminine, singular;prescription;The prescription has expired.;La prescrizione è scaduta.;
preso;Ho {{c1::preso}} il libro.;verb, past participle, masculine, singular;taken;I took the book.;Ho preso il libro.;
prima;{{c1::Prima}} di tutto.;adv;first;First of all.;Prima di tutto.;
primato;Ha stabilito un {{c1::primato}}.;noun, masculine, singular;record;He set a record.;Ha stabilito un primato.;
primavera;La {{c1::primavera}} è bella.;noun, feminine, singular;spring;Spring is beautiful.;La primavera è bella.;
processo;Il {{c1::processo}} è lungo.;noun, masculine, singular;process;The process is long.;Il processo è lungo.;
pronto soccorso;Il {{c1::pronto soccorso}} è al primo piano.;noun, masculine, singular;emergency room;The emergency room is on the first floor.;Il pronto soccorso è al primo piano.;
proprietario;Il {{c1::proprietario}} della casa.;noun, masculine, singular;owner;The owner of the house.;Il proprietario della casa.;
proprietaria;La {{c1::proprietaria}} del negozio.;noun, feminine, singular;owner;The owner of the shop.;La proprietaria del negozio.;
proprio;Questo è il mio {{c1::proprio}} libro.;adj, masculine, singular;own;This is my own book.;Questo è il mio proprio libro.;
prospettiva;La {{c1::prospettiva}} è buona.;noun, feminine, singular;prospect;The prospect is good.;La prospettiva è buona.;
prova;Questa è una {{c1::prova}} difficile.;noun, feminine, singular;test;This is a difficult test.;Questa è una prova difficile.;
provare;Devo {{c1::provare}} la nuova ricetta.;verb, infinitive;try;I need to try the new recipe.;Devo provare la nuova ricetta.;
qua;{{c1::Qua}} è bello.;adv;here;Here is beautiful.;Qua è bello.;
qui;{{c1::Qui}} siamo al sicuro.;adv;here;Here we are safe.;Qui siamo al sicuro.;
qualcosa;Ho {{c1::qualcosa}} da dirti.;pronoun, masculine, singular;something;I have something to tell you.;Ho qualcosa da dirti.;
quale;{{c1::Quale}} libro preferisci?;pronoun, masculine, singular;which;Which book do you prefer?;Quale libro preferisci?;
quello;{{c1::Quello}} è il mio amico.;pronoun, masculine, singular;that;That is my friend.;Quello è il mio amico.;
questa mattina;{{c1::Questa mattina}} ho lavorato.;phrase;this morning;This morning I worked.;Questa mattina ho lavorato.;
quindi;{{c1::Quindi}}, cosa facciamo?;conj;therefore;Therefore, what do we do?;Quindi, cosa facciamo?;
raccontare;Mi piace {{c1::raccontare}} storie.;verb, infinitive;tell;I like to tell stories.;Mi piace raccontare storie.;
raggiungere;Devo {{c1::raggiungere}} la meta.;verb, infinitive;reach;I need to reach the goal.;Devo raggiungere la meta.;
ragione;Hai {{c1::ragione}}.;noun, feminine, singular;reason;You're right.;Hai ragione.;
rasoio;Il {{c1::rasoio}} è affilato.;noun, masculine, singular;razor;The razor is sharp.;Il rasoio è affilato.;
re;Il {{c1::re}} è potente.;noun, masculine, singular;king;The king is powerful.;Il re è potente.;
rendere;Devo {{c1::rendere}} il libro.;verb, infinitive;return;I need to return the book.;Devo rendere il libro.;
riassunto;Il {{c1::riassunto}} è breve.;noun, masculine, singular;summary;The summary is brief.;Il riassunto è breve.;
ribattere;Devo {{c1::ribattere}} alle critiche.;verb, infinitive;retort;I need to retort to the criticism.;Devo ribattere alle critiche.;
ricetta medica;Ho la {{c1::ricetta medica}}.;noun, feminine, singular;medical prescription;I have the medical prescription.;Ho la ricetta medica.;
ricordare;Non riesco a {{c1::ricordare}}.;verb, infinitive;remember;I can't remember.;Non riesco a ricordare.;
ridare;Devo {{c1::ridare}} i soldi.;verb, infinitive;give back;I need to give back the money.;Devo ridare i soldi.;
riguardare;Questo {{c1::riguarda}} tutti.;verb, 3rd person singular, presente;concerns;This concerns everyone.;Questo riguarda tutti.;
rilassante;Il massaggio è {{c1::rilassante}}.;adj, masculine, singular;relaxing;The massage is relaxing.;Il massaggio è rilassante.;
rinascimento;Il {{c1::rinascimento}} italiano.;noun, masculine, singular;renaissance;The Italian Renaissance.;Il rinascimento italiano.;
riordinare;Devo {{c1::riordinare}} la stanza.;verb, infinitive;tidy up;I need to tidy up the room.;Devo riordinare la stanza.;
riquadro;Il {{c1::riquadro}} è vuoto.;noun, masculine, singular;box;The box is empty.;Il riquadro è vuoto.;
riscaldamento;Il {{c1::riscaldamento}} funziona.;noun, masculine, singular;heating;The heating works.;Il riscaldamento funziona.;
rischiare;Non voglio {{c1::rischiare}}.;verb, infinitive;risk;I don't want to risk.;Non voglio rischiare.;
rivedere;Devo {{c1::rivedere}} il film.;verb, infinitive;review;I need to review the movie.;Devo rivedere il film.;
roba;Questa {{c1::roba}} non serve.;noun, feminine, singular;stuff;This stuff is useless.;Questa roba non serve.;
roccioso;Il terreno è {{c1::roccioso}}.;adj, masculine, singular;rocky;The terrain is rocky.;Il terreno è roccioso.;
rotte commerciali;Le {{c1::rotte commerciali}} sono importanti.;noun, feminine, plural;trade routes;Trade routes are important.;Le rotte commerciali sono importanti.;
rotto;Il vetro è {{c1::rotto}}.;adj, masculine, singular;broken;The glass is broken.;Il vetro è rotto.;
rovina;Il castello è in {{c1::rovina}}.;noun, feminine, singular;ruin;The castle is in ruins.;Il castello è in rovina.;
rubare;Non {{c1::rubare}}!;verb, infinitive;steal;Don't steal!;Non rubare!;
saltare;Il bambino {{c1::salta}}.;verb, 3rd person singular, presente;jump;The child jumps.;Il bambino salta.;
salutare;Devo {{c1::salutare}} gli ospiti.;verb, infinitive;greet;I need to greet the guests.;Devo salutare gli ospiti.;
salute;{{c1::Salute}} a tutti!;noun, feminine, singular;health;Cheers everyone!;Salute a tutti!;
sapere;Non {{c1::so}} la risposta.;verb, 1st person singular, presente;know;I don't know the answer.;Non so la risposta.;
sapore;Il {{c1::sapore}} è buono.;noun, masculine, singular;taste;The taste is good.;Il sapore è buono.;
sbagliato;È {{c1::sbagliato}}.;adj, masculine, singular;wrong;It's wrong.;È sbagliato.;
sbaglio;Ho fatto un {{c1::sbaglio}}.;noun, masculine, singular;mistake;I made a mistake.;Ho fatto un sbaglio.;
sboccato;È un ragazzo {{c1::sboccato}}.;adj, masculine, singular;rude;He's a rude boy.;È un ragazzo sboccato.;
scale;Le {{c1::scale}} sono ripide.;noun, feminine, plural;stairs;The stairs are steep.;Le scale sono ripide.;
scaricare;Devo {{c1::scaricare}} il file.;verb, infinitive;download;I need to download the file.;Devo scaricare il file.;
scarpone;Lo {{c1::scarpone}} è pesante.;noun, masculine, singular;hiking boot;The hiking boot is heavy.;Lo scarpone è pesante.;
scegliere;Devo {{c1::scegliere}} il colore.;verb, infinitive;choose;I need to choose the color.;Devo scegliere il colore.;
scendere;Devo {{c1::scendere}} le scale.;verb, infinitive;go down;I need to go down the stairs.;Devo scendere le scale.;
scherma;La {{c1::scherma}} è uno sport.;noun, feminine, singular;fencing;Fencing is a sport.;La scherma è uno sport.;
schermo;Lo {{c1::schermo}} è rotto.;noun, masculine, singular;screen;The screen is broken.;Lo schermo è rotto.;
scherzo;È uno {{c1::scherzo}}.;noun, masculine, singular;joke;It's a joke.;È uno scherzo.;
sci;Gli {{c1::sci}} sono nuovi.;noun, masculine, plural;skis;The skis are new.;Gli sci sono nuovi.;
sciare;Mi piace {{c1::sciare}}.;verb, infinitive;ski;I like to ski.;Mi piace sciare.;
sconfiggere;Hanno {{c1::sconfitto}} il nemico.;verb, past participle, masculine, plural;defeat;They defeated the enemy.;Hanno sconfitto il nemico.;
scorso;L'anno {{c1::scorso}}.;adj, masculine, singular;last;Last year.;L'anno scorso.;
scortese;È {{c1::scortese}}.;adj, masculine, singular;rude;He's rude.;È scortese.;
secolo;Il {{c1::secolo}} scorso.;noun, masculine, singular;century;Last century.;Il secolo scorso.;
secondo;{{c1::Secondo}} me, hai ragione.;prep;according to;According to me, you're right.;Secondo me, hai ragione.;
sedere;Devo {{c1::sedere}} qui.;verb, infinitive;sit;I need to sit here.;Devo sedere qui.;
segnare;Devo {{c1::segnare}} la data.;verb, infinitive;mark;I need to mark the date.;Devo segnare la data.;
seguire;Devo {{c1::seguire}} le istruzioni.;verb, infinitive;follow;I need to follow the instructions.;Devo seguire le istruzioni.;
seguito;Nel {{c1::seguito}} del discorso.;noun, masculine, singular;continuation;In the continuation of the speech.;Nel seguito del discorso.;
selvaggio;L'animale è {{c1::selvaggio}}.;adj, masculine, singular;wild;The animal is wild.;L'animale è selvaggio.;
semplice;È {{c1::semplice}}.;adj, masculine, singular;simple;It's simple.;È semplice.;
sempre;{{c1::Sempre}} così.;adv;always;Always like this.;Sempre così.;
sentiero;Il {{c1::sentiero}} è stretto.;noun, masculine, singular;path;The path is narrow.;Il sentiero è stretto.;
sentire;Non {{c1::sento}} bene.;verb, 1st person singular, presente;hear;I don't hear well.;Non sento bene.;
senza;{{c1::Senza}} soldi.;prep;without;Without money.;Senza soldi.;
smettere;Devo {{c1::smettere}} di fumare.;verb, infinitive;stop;I need to stop smoking.;Devo smettere di fumare.;
smettila;{{c1::Smettila}} di fare rumore!;verb, 2nd person singular, imperativo;stop it;Stop making noise!;Smettila di fare rumore!;
soccorso;È un intervento {{c1::soccorso}}.;adj, masculine, singular;emergency;It's an emergency intervention.;È un intervento soccorso.;
soccorso;Il {{c1::soccorso}} è arrivato.;noun, masculine, singular;help;Help has arrived.;Il soccorso è arrivato.;
soggiorno;Il {{c1::soggiorno}} è spazioso.;noun, masculine, singular;living room;The living room is spacious.;Il soggiorno è spazioso.;
sogno;Ho fatto un {{c1::sogno}}.;noun, masculine, singular;dream;I had a dream.;Ho fatto un sogno.;
soldi;Non ho {{c1::soldi}}.;noun, masculine, plural;money;I don't have money.;Non ho soldi.;
solito;Come {{c1::solito}}, arriva tardi.;adj, masculine, singular;usual;As usual, he arrives late.;Come solito, arriva tardi.;
soprattutto;{{c1::Soprattutto}} la matematica.;adv;especially;Especially mathematics.;Soprattutto la matematica.;
sorprendente;È {{c1::sorprendente}}.;adj, masculine, singular;surprising;It's surprising.;È sorprendente.;
sotto;{{c1::Sotto}} il tavolo.;prep;under;Under the table.;Sotto il tavolo.;
sottocutaneo;L'iniezione è {{c1::sottocutaneo}}.;adj, masculine, singular;subcutaneous;The injection is subcutaneous.;L'iniezione è sottocutaneo.;
spalla;Mi fa male la {{c1::spalla}}.;noun, feminine, singular;shoulder;My shoulder hurts.;Mi fa male la spalla.;
speciale;È un giorno {{c1::speciale}}.;adj, masculine, singular;special;It's a special day.;È un giorno speciale.;
spesso;Vado {{c1::spesso}} al cinema.;adv;often;I often go to the cinema.;Vado spesso al cinema.;
spezzare;Non {{c1::spezzare}} il vetro.;verb, infinitive;break;Don't break the glass.;Non spezzare il vetro.;
spezzato;Il vetro è {{c1::spezzato}}.;verb, past participle, masculine, singular;broken;The glass is broken.;Il vetro è spezzato.;
spiedo;Il pollo cuoce allo {{c1::spiedo}}.;noun, masculine, singular;spit;The chicken cooks on the spit.;Il pollo cuoce allo spiedo.;
spiegare;Devo {{c1::spiegare}} la lezione.;verb, infinitive;explain;I need to explain the lesson.;Devo spiegare la lezione.;
sprecare;Non {{c1::sprecare}} il tempo.;verb, infinitive;waste;Don't waste time.;Non sprecare il tempo.;
stagione;La {{c1::stagione}} è bella.;noun, feminine, singular;season;The season is beautiful.;La stagione è bella.;
stanza;La {{c1::stanza}} è grande.;noun, feminine, singular;room;The room is big.;La stanza è grande.;
stesso;È lo {{c1::stesso}}.;adj, masculine, singular;same;It's the same.;È lo stesso.;
stivale;Lo {{c1::stivale}} è comodo.;noun, masculine, singular;boot;The boot is comfortable.;Lo stivale è comodo.;
storico;È un edificio {{c1::storico}}.;adj, masculine, singular;historic;It's a historic building.;È un edificio storico.;
strada;La {{c1::strada}} è lunga.;noun, feminine, singular;street;The street is long.;La strada è lunga.;
stretto;Il passaggio è {{c1::stretto}}.;adj, masculine, singular;narrow;The passage is narrow.;Il passaggio è stretto.;
studio medico;Lo {{c1::studio medico}} è chiuso.;noun, masculine, singular;medical practice;The medical practice is closed.;Lo studio medico è chiuso.;
subito;Vieni {{c1::subito}} qui!;adv;immediately;Come here immediately!;Vieni subito qui!;
suonare;Mi piace {{c1::suonare}} il piano.;verb, infinitive;play;I like to play the piano.;Mi piace suonare il piano.;
supposizione;È solo una {{c1::supposizione}}.;noun, feminine, singular;supposition;It's just a supposition.;È solo una supposizione.;
sviluppare;Devo {{c1::sviluppare}} l'idea.;verb, infinitive;develop;I need to develop the idea.;Devo sviluppare l'idea.;
svolgere;Devo {{c1::svolgere}} il compito.;verb, infinitive;carry out;I need to carry out the task.;Devo svolgere il compito.;
svolgersi;La riunione si {{c1::svolge}} domani.;verb, 3rd person singular, presente;take place;The meeting takes place tomorrow.;La riunione si svolge domani.;
taglia;Che {{c1::taglia}} porti?;noun, feminine, singular;size;What size do you wear?;Che taglia porti?;
tagliare;Devo {{c1::tagliare}} il pane.;verb, infinitive;cut;I need to cut the bread.;Devo tagliare il pane.;
taglio;Il {{c1::taglio}} è profondo.;noun, masculine, singular;cut;The cut is deep.;Il taglio è profondo.;
tanto;{{c1::Tanto}} tempo fa.;adv;so long;So long ago.;Tanto tempo fa.;
temere;Non {{c1::temere}}.;verb, infinitive;fear;Don't fear.;Non temere.;
tenere;Devo {{c1::tenere}} il segreto.;verb, infinitive;keep;I need to keep the secret.;Devo tenere il segreto.;
tipico;È {{c1::tipico}} della zona.;adj, masculine, singular;typical;It's typical of the area.;È tipico della zona.;
tirare;Devo {{c1::tirare}} la corda.;verb, infinitive;pull;I need to pull the rope.;Devo tirare la corda.;
togliere;Devo {{c1::togliere}} la giacca.;verb, infinitive;remove;I need to remove the jacket.;Devo togliere la giacca.;
tra;{{c1::Tra}} me e te.;prep;between;Between you and me.;Tra me e te.;
tradizionale;È un piatto {{c1::tradizionale}}.;adj, masculine, singular;traditional;It's a traditional dish.;È un piatto tradizionale.;
tradizione;La {{c1::tradizione}} è importante.;noun, feminine, singular;tradition;Tradition is important.;La tradizione è importante.;
tradurre;Devo {{c1::tradurre}} questo testo.;verb, infinitive;translate;I need to translate this text.;Devo tradurre questo testo.;
tranquillo;Sii {{c1::tranquillo}}.;adj, masculine, singular;calm;Be calm.;Sii tranquillo.;
trilocale;L'{{c1::trilocale}} è spazioso.;noun, masculine, singular;three-room apartment;The three-room apartment is spacious.;L'trilocale è spazioso.;
troppo;È {{c1::troppo}} tardi.;adv;too;It's too late.;È troppo tardi.;
trovare;Devo {{c1::trovare}} le chiavi.;verb, infinitive;find;I need to find the keys.;Devo trovare le chiavi.;
turistico;È un luogo {{c1::turistico}}.;adj, masculine, singular;tourist;It's a tourist place.;È un luogo turistico.;
uccidere;Non {{c1::uccidere}}!;verb, infinitive;kill;Don't kill!;Non uccidere!;
uguale;Sono {{c1::uguali}}.;adj, masculine, plural;equal;They are equal.;Sono uguali.;
ulivo;L'{{c1::ulivo}} è antico.;noun, masculine, singular;olive tree;The olive tree is old.;L'ulivo è antico.;
ungherese;Parlo {{c1::ungherese}}.;adj, masculine, singular;Hungarian;I speak Hungarian.;Parlo ungherese.;
unico;È {{c1::unico}}.;adj, masculine, singular;unique;It's unique.;È unico.;
valetto;Il {{c1::valetto}} è giovane.;noun, masculine, singular;valet;The valet is young.;Il valetto è giovane.;
valle;La {{c1::valle}} è verde.;noun, feminine, singular;valley;The valley is green.;La valle è verde.;
vedere;Non {{c1::vedo}} niente.;verb, 1st person singular, presente;see;I don't see anything.;Non vedo niente.;
venire;Devo {{c1::venire}} domani.;verb, infinitive;come;I need to come tomorrow.;Devo venire domani.;
ventilato;La stanza è {{c1::ventilata}}.;adj, feminine, singular;ventilated;The room is ventilated.;La stanza è ventilata.;
verde;L'erba è {{c1::verde}}.;adj, feminine, singular;green;The grass is green.;L'erba è verde.;
verso;Cammino {{c1::verso}} casa.;prep;toward;I walk toward home.;Cammino verso casa.;
viaggio;Il {{c1::viaggio}} è lungo.;noun, masculine, singular;trip;The trip is long.;Il viaggio è lungo.;
vicenda;La {{c1::vicenda}} è strana.;noun, feminine, singular;affair;The affair is strange.;La vicenda è strana.;
vicino;Abito {{c1::vicino}} alla scuola.;adv;near;I live near the school.;Abito vicino alla scuola.;
vigneto;Il {{c1::vigneto}} è esteso.;noun, masculine, singular;vineyard;The vineyard is extensive.;Il vigneto è esteso.;
villetta a schiera;La {{c1::villetta a schiera}} è nuova.;noun, feminine, singular;townhouse;The townhouse is new.;La villetta a schiera è nuova.;
viso;Il suo {{c1::viso}} è bello.;noun, masculine, singular;face;His face is beautiful.;Il suo viso è bello.;
visto;Ho {{c1::visto}} il film.;verb, past participle, masculine, singular;seen;I saw the movie.;Ho visto il film.;
vivace;Il bambino è {{c1::vivace}}.;adj, masculine, singular;lively;The child is lively.;Il bambino è vivace.;